Index,Year,Name,Manual_KW,Manual_Count,YAKE_KW,YAKE_Count,Intersection,Intersection_Count,Ratio_Manual,Ratio_YAKE,Status
186,2017,Blinova,,0,"типа, Pl.Pej, именных групп, форм, множественного пейоративного, формы, сидоровых, множественного, групп, форм Pl.Pej",10,,0,0.0,0.0,YAKE Only
187,2017,Boyarsky,"Sentence analysis, collocations, morphological analysis,
parts of speech, lemmas, semantic classes.",6,,0,,0,0.0,0.0,Manual Only
188,2017,Boyarsky,"анализ предложения, словосочетания,
лексические обороты, морфологический анализ, части речи,
леммы, семантические классы.",7,,0,,0,0.0,0.0,Manual Only
189,2017,Boyarsky,,0,"словосочетание, ближайшем контексте, предлога, следует слово, сочетанием предлога, слово, является словосочетание, контексте, ним следует, Наречные обороты",10,,0,0.0,0.0,YAKE Only
190,2017,Dubovik,"style, classification, corpus linguistics, stylomet",4,,0,,0,0.0,0.0,Manual Only
191,2017,Dubovik,"стиль, классификация, корпусная лингвистика, стилеметрия,
типология.",5,,0,,0,0.0,0.0,Manual Only
192,2017,Dubovik,,0,"текстов, стиля, стилей, тексты, стиль, делового стиля, значение, существительное, текста, текстах",10,,0,0.0,0.0,YAKE Only
193,2017,Goryunova,"Оntologies, subject areas, modeling,, classes, attributes, queries, dictionaries
Scientific Degree, Position, Organization – Country.",10,,0,,0,0.0,0.0,Manual Only
194,2017,Goryunova,"онтологии, предметные области, моделирование, ,классы,атрибуты,запросы,словари",8,,0,,0,0.0,0.0,Manual Only
195,2017,Goryunova,,0,"предметной области, предметной, специализированной предметной, области, ЯЗЫКА UML, ОНТОЛОГИЙ, ИСПОЛЬЗОВАНИЕ ЯЗЫКА, связана, модели предметной, классификации онтологий",10,,0,0.0,0.0,YAKE Only
196,2017,Khokhlova,"Statistical tools, measures of association, bigrams, MI, LL,
MI3, minimum sensitivity, t-score.",8,,0,,0,0.0,0.0,Manual Only
197,2017,Khokhlova,"Статистический
аппарат,
ассоциации, биграммы, MI, LL, MI3, MS, t-score меры",8,,0,,0,0.0,0.0,Manual Only
