рис;12
социальное настроение;8
логистическая регрессия;5
комментарии;5
алгоритм;5
социальные сети;4
машинное обучение;4
цель;4
модель;4
spacy;4
социальная группа;3
индивидуальное настроение;3
уровень;3
текст;3
решение;3
предложения;3
предложение;3
набор;3
карта;3
итог;3
