социального настроения;0.012712533824395418
данных;0.017393129440645406
тональности комментариев;0.026179773421915437
настроения;0.02662502418920673
Анализ тональности комментариев;0.02699061110538685
настроение;0.029837201413551544
тональности;0.03310160166555838
комментариев;0.03496738140937784
социальное настроение;0.037785452333409554
Рис;0.03915443414310147
является;0.039949242157950406
Анализ тональности;0.04240738608903975
социального;0.04384490377857566
социального настроения населения;0.051797993635583996
социального настроения жителей;0.05201798779606905
комментариев Анализ тональности;0.0539812222107737
тональности комментариев Анализ;0.05398122221077371
Анализ;0.056826771482491684
социального настроения имеет;0.05730619879870181
общества;0.05789973224799331
